Track,Artist,Tag,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Djadja,Aya Nakamura,Gianluca,0.811,0.797,5,-5.428,1,0.165,0.0617,0,0.112,0.541,97.988,audio_features,7sKDftgGirHWTVFMtJoDoh,spotify:track:7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,171133,4
Que Calor (with J Balvin & El Alfa),Major Lazer,Gianluca,0.795,0.885,8,-4.13,1,0.0713,0.0375,0.00638,0.292,0.46,126.037,audio_features,1sviDBcAqVOxMXq4xITVEs,spotify:track:1sviDBcAqVOxMXq4xITVEs,https://api.spotify.com/v1/tracks/1sviDBcAqVOxMXq4xITVEs,https://api.spotify.com/v1/audio-analysis/1sviDBcAqVOxMXq4xITVEs,169998,4
Olha a Explosão,MC Kevinho,Gianluca,0.774,0.611,6,-2.883,1,0.134,0.109,0,0.0805,0.388,89.995,audio_features,6m2LNopVJKsvBB9l7Z1rwn,spotify:track:6m2LNopVJKsvBB9l7Z1rwn,https://api.spotify.com/v1/tracks/6m2LNopVJKsvBB9l7Z1rwn,https://api.spotify.com/v1/audio-analysis/6m2LNopVJKsvBB9l7Z1rwn,161593,4
Una Locura,Ozuna,Gianluca,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,audio_features,5y7DaS3jAc9eZzcSOoUIwU,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/tracks/5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/audio-analysis/5y7DaS3jAc9eZzcSOoUIwU,230693,4
DÁKITI,Bad Bunny,Gianluca,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4
Donde Estan Las Gatas (feat. Nicky Jam),Daddy Yankee,Gianluca,0.836,0.961,7,-2.679,0,0.0635,0.194,0,0.074,0.76,109.957,audio_features,3Kemg5QPEhEjOiWUFrTkXX,spotify:track:3Kemg5QPEhEjOiWUFrTkXX,https://api.spotify.com/v1/tracks/3Kemg5QPEhEjOiWUFrTkXX,https://api.spotify.com/v1/audio-analysis/3Kemg5QPEhEjOiWUFrTkXX,170006,4
Otro Trago - Remix,Sech,Gianluca,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,audio_features,4bTZeO72FwMa6wKOiqoynL,spotify:track:4bTZeO72FwMa6wKOiqoynL,https://api.spotify.com/v1/tracks/4bTZeO72FwMa6wKOiqoynL,https://api.spotify.com/v1/audio-analysis/4bTZeO72FwMa6wKOiqoynL,287773,4
HP,Maluma,Gianluca,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,audio_features,31UjYv5vLsDkzchJOtUMtW,spotify:track:31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,184436,4
Una Noche en Medellín,Cris Mj,Gianluca,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-05,0.0534,0.832,96.018,audio_features,1O2pcBJGej0pmH2Y9XZMs6,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/tracks/1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/audio-analysis/1O2pcBJGej0pmH2Y9XZMs6,153750,4
Travesuras,Nicky Jam,Gianluca,0.773,0.593,1,-11.948,1,0.104,0.126,0,0.0786,0.883,93.984,audio_features,1obLCWFaKpz2Q0G751CE3J,spotify:track:1obLCWFaKpz2Q0G751CE3J,https://api.spotify.com/v1/tracks/1obLCWFaKpz2Q0G751CE3J,https://api.spotify.com/v1/audio-analysis/1obLCWFaKpz2Q0G751CE3J,197546,4
